stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,60,TELANGANA,Khairatabad,Secundrabad,18140,80108,40968,39140,5471,2758,2712,1278,667,610,58780,31448,27332,21328,9520,11808,29447,23616,18468,5148,5831,1066,115,12680,13115,1,13058,551,9217,11281,9051,6592,1889
36,61,TELANGANA,Jubilee Hills,Secundrabad,20884,92225,47164,45060,6299,3176,3123,1471,768,703,67671,36204,31466,24554,10960,13594,33901,27188,21261,5926,6713,1227,132,14598,15098,1,15033,635,10611,12987,10420,7589,2175
36,62,TELANGANA,Sanath Nagar,Secundrabad,42394,184900,94515,90385,15679,7943,7736,3427,1785,1641,132941,71405,61536,51958,23110,28848,67992,55103,43108,11994,12888,2287,266,25636,31943,687,31343,2212,21797,26872,22999,14576,3767
36,63,TELANGANA,Nampalli,Secundrabad,17378,76742,39246,37495,5241,2643,2598,1224,639,585,56310,30126,26183,20432,9120,11312,28210,22624,17692,4931,5586,1021,110,12147,12564,1,12509,528,8830,10807,8670,6315,1810
36,64,TELANGANA,Karwan,Hyderabad,25482,112532,57550,54982,7691,3878,3813,1795,937,857,82568,44176,38392,29964,13374,16590,41364,33175,25944,7231,8188,1497,162,17804,18429,1,18349,776,12955,15853,12722,9264,2654
36,65,TELANGANA,Goshamahal,Hyderabad,11585,51161,26164,24997,3494,1762,1732,816,426,390,37540,20084,17455,13621,6080,7541,18806,15082,11794,3287,3724,680,74,8098,8376,1,8339,352,5887,7205,5780,4210,1206
36,66,TELANGANA,Charminar,Hyderabad,14176,62605,32017,30588,4276,2156,2120,998,521,477,45937,24577,21360,16668,7440,9228,23013,18456,14433,4023,4557,833,90,9909,10249,1,10205,431,7203,8816,7073,5152,1476
36,67,TELANGANA,Chandrayangutta,Hyderabad,14939,65971,33738,32233,4506,2272,2233,1052,549,502,48407,25898,22508,17564,7840,9724,24251,19448,15209,4239,4802,878,95,10442,10800,1,10753,454,7591,9290,7453,5428,1556
36,68,TELANGANA,Yakutpura,Hyderabad,13109,57893,29607,28286,3954,1993,1960,923,482,441,42479,22727,19752,15413,6880,8533,21281,17067,13346,3720,4214,770,83,9163,9478,1,9437,398,6661,8153,6541,4764,1365
36,69,TELANGANA,Bahdurpura,Hyderabad,17225,76069,38902,37166,5195,2619,2575,1213,633,579,55816,29862,25953,20252,9040,11212,27962,22425,17537,4888,5537,1012,109,12040,12453,1,12399,523,8752,10712,8594,6259,1794
36,7,TELANGANA,Adilabad,Adilabad,56537,250897,126879,124017,28466,14309,14157,41506,20814,20691,152725,86818,65906,98171,40060,58110,114883,97733,63064,34669,17149,64588,2119,22963,50074,5490,22404,29933,23240,32156,33481,11304,1248
36,70,TELANGANA,Secundrabad,Secundrabad,3447,15655,8101,7553,1512,767,744,241,129,111,11752,6401,5351,3902,1700,2202,5873,4674,3656,1018,1199,195,24,2622,2857,25,2827,119,2097,2489,1872,1483,498
36,71,TELANGANA,Secunderabad Cantt,Malkajgiri,10235,44987,23111,21876,3738,1873,1865,652,338,314,33316,17925,15391,11671,5186,6484,17146,13672,10691,2980,3473,587,69,7566,8011,40,7984,320,5823,6979,5336,4125,1324
36,72,TELANGANA,Kodangal,Mahbubnagar,60077,299792,149138,150654,51368,25422,25946,34747,17512,17235,126207,76282,49925,173585,72856,100729,160518,130805,72709,58096,29713,131589,1877,11997,49302,9850,5988,54454,3477,16647,33368,4919,641
36,73,TELANGANA,Narayanpet,Mahbubnagar,50860,263925,131804,132121,39957,19441,20516,23952,12153,11799,117401,70020,47381,146524,61784,84740,137763,118061,65647,52414,19702,96780,2941,18066,41204,8777,7109,43289,5244,16036,29488,4727,663
36,74,TELANGANA,Mahbubnagar,Mahbubnagar,61673,307013,154634,152379,30321,15070,15250,20689,10492,10196,195196,108566,86629,111816,46067,65749,126469,109765,72542,37223,16704,44365,1310,33079,56875,4178,37705,25417,31944,40371,42648,20621,2400
36,75,TELANGANA,Jadcherla,Mahbubnagar,55407,253666,127350,126315,44196,21707,22489,36308,18561,17746,130641,76962,53678,123024,50388,72636,125791,111782,64494,47288,14008,87228,2796,23548,46775,7170,16285,42807,10236,24763,35398,8902,953
36,76,TELANGANA,Devarkadra,Mahbubnagar,60274,291306,146720,144586,44392,22041,22351,17344,8808,8536,134399,81049,53350,156907,65671,91236,154661,132824,74029,58795,21837,105071,3682,28391,52205,6983,10967,53604,4991,24687,36499,5965,536
36,77,TELANGANA,Makthal,Mahbubnagar,56244,280542,140037,140505,45595,22440,23155,5538,2758,2780,119494,71580,47914,161048,68457,92591,147296,120806,67832,52974,26490,109367,3859,27968,49407,5895,6958,49622,4382,20222,32469,6559,804
36,78,TELANGANA,Wanaparthy,Nagarkurnool,69067,328004,167693,160311,52747,26848,25899,28806,14779,14027,165156,98490,66666,162848,69203,93645,162919,144002,82061,61941,18917,111526,3592,36804,62243,5793,20850,54575,11657,31633,44170,9855,899
36,79,TELANGANA,Gadwal,Nagarkurnool,64616,304787,153607,151180,49175,24714,24461,7830,3908,3922,122695,74343,48352,182092,79264,102828,162772,146771,80876,65895,16001,129547,4037,24188,57747,5869,13723,52117,9285,27505,39380,11857,828
36,8,TELANGANA,Boath,Adilabad,68761,306928,152317,154611,48957,23897,25059,94034,46447,47587,164818,95942,68876,142110,56375,85735,159401,139951,76570,63380,19450,120974,2958,7730,57971,9431,11114,52457,13889,28860,37312,7956,694
